country,reg_new_user_cnt,reg_new_pay_user_cnt,reg_new_pay_rate,reg_new_pay_amt,pay_old_user_cnt,pay_old_amt,tts_user_rate,talkingphoto_user_rate,transcription_user_rate,videotranslation_user_rate,videoedit_user_rate,videodownload_user_rate,produce_rate
土库曼斯坦,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
圣卢西亚,7,0,0.0,0.0,0,0.0,0.7143,0.1429,0.0,0.0,0.0,0.0,0.8571
圣基茨和尼维斯,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
圣多美和普林西比,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
圣文森特和格林纳丁斯,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
圣马丁,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
圣马力诺,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
圭亚那,8,0,0.0,0.0,0,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.375
坦桑尼亚,68,0,0.0,0.0,1,15.0,0.3088,0.0882,0.0294,0.0147,0.0294,0.0,0.4412
埃塞俄比亚,457,0,0.0,0.0,0,0.0,0.3042,0.2057,0.0525,0.0022,0.0044,0.0088,0.5492
基里巴斯,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
塔吉克斯坦,99,0,0.0,0.0,0,0.0,0.4646,0.0202,0.0505,0.0202,0.0,0.0,0.5556
塞内加尔,390,0,0.0,0.0,2,30.0,0.1872,0.0436,0.1385,0.0231,0.0,0.0154,0.3769
塞拉利昂,103,0,0.0,0.0,0,0.0,0.1553,0.3204,0.0291,0.0097,0.0194,0.0,0.4757
塞舌尔,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
多哥,406,0,0.0,0.0,1,15.0,0.7291,0.1158,0.0419,0.0074,0.0025,0.0,0.8916
多米尼克,1,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
多米尼加,86,0,0.0,0.0,0,0.0,0.3372,0.0581,0.0581,0.0233,0.0,0.0116,0.4767
奥兰群岛,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
委内瑞拉,89,0,0.0,0.0,0,0.0,0.2584,0.1348,0.0337,0.0562,0.0112,0.0449,0.5169
安哥拉,82,0,0.0,0.0,0,0.0,0.1098,0.1098,0.2927,0.0,0.0,0.0,0.5122
安圭拉,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
